	Smoothed Temp = 91.00, 
2017-05-01T23:01:53-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:53-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:53-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:53-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:53-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:53-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:54-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:54-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:54-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,513,	Smoothed Temp = 91.00, 
2017-05-01T23:01:54-04:00, 	Raw gas reading:,514,	Smoothed gas reading:,513,	Smoothed Temp = 91.00, 
2017-05-01T23:01:54-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,513,	Smoothed Temp = 91.00, 
2017-05-01T23:01:55-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,513,	Smoothed Temp = 91.00, 
2017-05-01T23:01:55-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,513,	Smoothed Temp = 91.00, 
2017-05-01T23:01:55-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,513,	Smoothed Temp = 91.00, 
2017-05-01T23:01:55-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:55-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:55-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:56-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:56-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:56-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:56-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:56-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:56-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:57-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:57-04:00, 	Raw gas reading:,510,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:57-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:57-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:57-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:58-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:58-04:00, 	Raw gas reading:,515,	Smoothed gas reading:,513,	Smoothed Temp = 91.00, 
2017-05-01T23:01:58-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
